,Pokemon,Segundo_Cluster
0,Abomasnow,2
1,Abra,3
2,Absol,5
3,Accelgor,9
4,Aegislash,10
5,Aerodactyl,10
6,Aggron,10
7,Aipom,5
8,Alakazam,3
9,Alomomola,13
10,Altaria,8
11,Amaura,1
12,Ambipom,5
13,Amoonguss,2
14,Ampharos,11
15,Anorith,10
16,Arbok,0
17,Arcanine,7
18,Arceus,8
19,Arceus-Bug,8
20,Arceus-Dark,8
21,Arceus-Dragon,8
22,Arceus-Electric,8
23,Arceus-Fairy,8
24,Arceus-Fighting,8
25,Arceus-Fire,8
26,Arceus-Flying,8
27,Arceus-Ghost,8
28,Arceus-Grass,8
29,Arceus-Ground,8
30,Arceus-Ice,8
31,Arceus-Poison,8
32,Arceus-Psychic,8
33,Arceus-Rock,8
34,Arceus-Steel,8
35,Arceus-Water,8
36,Archen,10
37,Archeops,10
38,Ariados,15
39,Armaldo,10
40,Aromatisse,12
41,Aron,10
42,Articuno,6
43,Audino,12
44,Aurorus,1
45,Avalugg,1
46,Axew,8
47,Azelf,3
48,Azumarill,13
49,Azurill,13
50,Bagon,8
51,Baltoy,3
52,Banette,5
53,Barbaracle,1
54,Barboach,13
55,Basculin,13
56,Bastiodon,10
57,Bayleef,2
58,Beartic,1
59,Beautifly,9
60,Beedrill,9
61,Beheeyem,3
62,Beldum,16
63,Bellossom,2
64,Bellsprout,2
65,Bergmite,1
66,Bibarel,13
67,Bidoof,4
68,Binacle,1
69,Bisharp,5
70,Blastoise,13
71,Blaziken,7
72,Blissey,4
73,Blitzle,11
74,Boldore,10
75,Bonsly,10
76,Bouffalant,10
77,Braixen,7
78,Braviary,6
79,Breloom,14
80,Bronzong,3
81,Bronzor,3
82,Budew,2
83,Buizel,13
84,Bulbasaur,2
85,Buneary,4
86,Bunnelby,10
87,Burmy,9
88,Butterfree,9
89,Cacnea,2
90,Cacturne,2
91,Camerupt,10
92,Carbink,10
93,Carnivine,2
94,Carracosta,1
95,Carvanha,13
96,Cascoon,15
97,Castform,4
98,Caterpie,15
99,Celebi,3
100,Chandelure,7
101,Chansey,4
102,Charmander,7
103,Charmeleon,7
104,Chatot,6
105,Cherrim,2
106,Cherubi,2
107,Chesnaught,2
108,Chespin,2
109,Chikorita,2
110,Chimchar,7
111,Chimecho,3
112,Chinchou,13
113,Chingling,3
114,Cinccino,4
115,Clamperl,13
116,Clauncher,13
117,Clawitzer,13
118,Claydol,3
119,Clefairy,12
120,Cleffa,3
121,Cloyster,1
122,Cobalion,14
123,Cofagrigus,3
124,Combee,9
125,Combusken,7
126,Conkeldurr,14
127,Corphish,13
128,Corsola,1
129,Cottonee,2
130,Cradily,10
131,Cranidos,10
132,Crawdaunt,13
133,Cresselia,3
134,Croagunk,14
135,Crobat,6
136,Croconaw,13
137,Crustle,10
138,Cryogonal,1
139,Cubchoo,1
140,Cubone,10
141,Cyndaquil,7
142,Darkrai,5
143,Darmanitan,7
144,Darumaka,7
145,Dedenne,11
146,Deerling,2
147,Deino,8
148,Delcatty,4
149,Delibird,1
150,Delphox,7
151,Deoxys,3
152,Deoxys-Attack,3
153,Deoxys-Defense,3
154,Deoxys-Speed,3
155,Dewgong,13
156,Dewott,13
157,Dialga,8
158,Diancie,10
159,Diggersby,14
160,Diglett,10
161,Ditto,16
162,Dodrio,6
163,Doduo,6
164,Donphan,10
165,Doublade,10
166,Dragalge,0
167,Dragonair,8
168,Dragonite,8
169,Drapion,0
170,Dratini,8
171,Drifblim,3
172,Drifloon,3
173,Drilbur,10
174,Drowzee,3
175,Druddigon,8
176,Ducklett,6
177,Dugtrio,10
178,Dunsparce,10
179,Duosion,3
180,Durant,10
181,Dusclops,5
182,Dusknoir,5
183,Duskull,5
184,Dustox,9
185,Dwebble,10
186,Eelektrik,11
187,Eelektross,11
188,Eevee,4
189,Ekans,0
190,Electabuzz,11
191,Electivire,11
192,Electrike,11
