,Pokemon,fire,water,grass,electric,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy,Tipo 1,Tipo 2,Primer_Cluster
0,Abomasnow,2,5,18,2,16,6,5,5,2,5,2,8,3,3,3,3,0,grass,ice,14
1,Abra,5,3,5,6,5,7,5,4,3,27,3,2,4,2,10,3,1,psychic,dark,3
2,Absol,8,5,2,7,9,6,5,3,4,10,5,9,9,2,20,3,1,dark,psychic,2
3,Accelgor,2,5,5,2,2,4,13,4,2,7,12,3,4,2,4,2,0,poison,bug,5
4,Aegislash,3,3,2,4,2,5,5,3,3,5,3,7,7,2,4,9,0,steel,rock,16
5,Aerodactyl,10,4,2,3,5,4,5,6,13,4,2,16,6,9,11,6,0,rock,flying,12
6,Aggron,9,8,3,8,9,13,5,9,3,3,3,18,6,11,8,11,0,rock,fighting,16
7,Aipom,5,5,6,7,5,13,7,5,5,6,4,3,7,2,14,3,0,dark,fighting,2
8,Alakazam,5,3,5,6,5,8,5,4,3,34,3,2,4,2,11,3,1,psychic,dark,3
9,Alomomola,3,18,2,2,8,3,5,2,3,11,2,3,3,2,3,2,0,water,psychic,4
10,Altaria,8,3,4,2,9,3,5,5,14,7,2,3,4,15,5,5,3,dragon,flying,12
11,Amaura,2,6,2,7,15,3,5,5,2,10,2,16,2,5,4,6,0,rock,ice,1
12,Ambipom,5,5,6,7,5,13,7,5,5,6,4,3,7,2,14,3,0,dark,fighting,2
13,Amoonguss,3,3,15,2,2,2,14,2,2,3,3,3,3,2,5,2,0,grass,poison,6
14,Ampharos,4,3,4,25,3,11,5,6,2,6,3,5,4,5,4,3,0,electric,fighting,11
15,Anorith,3,8,2,3,2,4,8,8,3,3,9,16,4,2,4,4,0,rock,bug,16
16,Arbok,5,4,4,3,6,2,30,6,2,3,3,6,3,4,14,3,0,poison,dark,13
17,Arcanine,19,2,3,4,3,7,5,5,3,4,2,4,3,5,6,4,1,fire,fighting,9
18,Arceus,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
