,Pokemon,Tipo
0,Abomasnow,2
1,Abra,3
2,Absol,15
3,Accelgor,4
4,Aegislash,17
5,Aerodactyl,9
6,Aggron,7
7,Aipom,6
8,Alakazam,3
9,Alomomola,10
10,Altaria,9
11,Amaura,16
12,Ambipom,6
13,Amoonguss,2
14,Ampharos,12
15,Anorith,7
16,Arbok,15
17,Arcanine,0
18,Arceus,17
19,Arceus-Bug,17
20,Arceus-Dark,17
21,Arceus-Dragon,17
22,Arceus-Electric,17
23,Arceus-Fairy,17
24,Arceus-Fighting,17
25,Arceus-Fire,17
26,Arceus-Flying,17
27,Arceus-Ghost,17
28,Arceus-Grass,17
29,Arceus-Ground,17
30,Arceus-Ice,17
31,Arceus-Poison,17
32,Arceus-Psychic,17
33,Arceus-Rock,17
34,Arceus-Steel,17
35,Arceus-Water,17
36,Archen,7
37,Archeops,7
38,Ariados,4
39,Armaldo,7
40,Aromatisse,8
41,Aron,7
42,Articuno,16
43,Audino,8
44,Aurorus,16
45,Avalugg,16
46,Axew,9
47,Azelf,3
48,Azumarill,10
49,Azurill,10
50,Bagon,9
51,Baltoy,3
52,Banette,15
53,Barbaracle,1
54,Barboach,10
55,Basculin,10
56,Bastiodon,7
57,Bayleef,2
58,Beartic,16
59,Beautifly,4
60,Beedrill,4
61,Beheeyem,3
62,Beldum,14
63,Bellossom,2
64,Bellsprout,2
65,Bergmite,16
66,Bibarel,1
67,Bidoof,6
68,Binacle,1
69,Bisharp,15
70,Blastoise,1
71,Blaziken,0
72,Blissey,6
73,Blitzle,12
74,Boldore,7
75,Bonsly,7
76,Bouffalant,7
77,Braixen,0
78,Braviary,11
79,Breloom,13
80,Bronzong,3
81,Bronzor,3
82,Budew,2
83,Buizel,10
84,Bulbasaur,2
85,Buneary,6
86,Bunnelby,7
87,Burmy,4
88,Butterfree,4
89,Cacnea,2
90,Cacturne,2
91,Camerupt,7
92,Carbink,7
93,Carnivine,2
94,Carracosta,1
95,Carvanha,10
96,Cascoon,5
97,Castform,17
98,Caterpie,5
99,Celebi,3
100,Chandelure,0
101,Chansey,6
102,Charmander,0
103,Charmeleon,0
104,Chatot,11
105,Cherrim,2
106,Cherubi,2
107,Chesnaught,2
108,Chespin,2
109,Chikorita,2
110,Chimchar,0
111,Chimecho,3
112,Chinchou,10
113,Chingling,3
114,Cinccino,6
115,Clamperl,10
116,Clauncher,10
117,Clawitzer,10
118,Claydol,3
119,Clefairy,8
120,Cleffa,3
121,Cloyster,10
122,Cobalion,13
123,Cofagrigus,3
124,Combee,5
125,Combusken,0
126,Conkeldurr,13
127,Corphish,1
128,Corsola,1
129,Cottonee,2
130,Cradily,7
131,Cranidos,7
132,Crawdaunt,1
133,Cresselia,3
134,Croagunk,13
135,Crobat,11
136,Croconaw,1
137,Crustle,7
138,Cryogonal,16
139,Cubchoo,16
140,Cubone,7
141,Cyndaquil,0
142,Darkrai,15
143,Darmanitan,0
144,Darumaka,0
145,Dedenne,12
146,Deerling,2
147,Deino,9
148,Delcatty,6
149,Delibird,16
150,Delphox,0
151,Deoxys,3
152,Deoxys-Attack,3
153,Deoxys-Defense,3
154,Deoxys-Speed,3
155,Dewgong,10
156,Dewott,10
157,Dialga,9
158,Diancie,7
159,Diggersby,13
160,Diglett,7
161,Ditto,14
162,Dodrio,11
163,Doduo,11
164,Donphan,7
165,Doublade,17
166,Dragalge,10
167,Dragonair,9
168,Dragonite,9
169,Drapion,15
170,Dratini,9
171,Drifblim,3
172,Drifloon,3
173,Drilbur,7
174,Drowzee,3
175,Druddigon,9
176,Ducklett,11
177,Dugtrio,7
178,Dunsparce,17
179,Duosion,3
180,Durant,7
181,Dusclops,15
182,Dusknoir,15
183,Duskull,15
184,Dustox,4
185,Dwebble,7
186,Eelektrik,12
187,Eelektross,12
188,Eevee,6
189,Ekans,15
190,Electabuzz,12
191,Electivire,12
192,Electrike,12
193,Electrode,12
